"Course (UG/PG)","Subject Area ","Catalog Number","Offering Unit/Department","Course Title","Course Description","Discipline Specific (Up to 5) - the dropdown list changes based on the Offering Unit/Department selection.","SMU Graduate Learning Outcomes","Grading Basis (e.g. Graded or Pass/Fail)","Course Attributes","Requisites"
"Postgraduate","LAW","656","YPHSL LLM","Essential Technology for Lawyers","This course employs a top-down approach to introduce high-level concepts in digital technology to lawyers or future lawyers who expect to work closely on legal/policy matters that intersect with technology, and professionals working in the legal sector who intend to leverage on the power of modern computing technologies in both legal research and the delivery of legal services.","Infocomm Security and Data Privacy","Interdisciplinary knowledge","GRD - Graded","AREA - LLM Law & Technology Track Core, AREA - PhD Law Foundation, AREA - Pre-approved Open Course, ENRL - SS Enrolment: 5 cross-enrolment","No"
"Postgraduate","LAW","657","YPHSL LLM","Compliance And Risk Management For Lawyers","This course examines the rules and standards that govern the subject of compliance and risk management. It will start by examining questions of governance: boards of directors, executives and third party vendors. We then examine the compliance function, organised by the nature of the enforcer: managers, regulators, prosecutors, whistleblowers, and gatekeepers. Next, we turn to particular areas of the law: corruption (e.g. Prevention of Corruption Act, Foreign Corrupt Practices Act and UK Bribery Act), anti-money laundering, and export controls. We examine cases where compliance fails (e.g., Siemens AG, Boeing 737 Max, Odebrecht) and initiatives that go beyond compliance (e.g., codes of ethics, social responsibility standards, and institutional culture). The last part of the course will consider risk management as it pertains to lawyers; topics here include the governance of risk; approaches to risk management; reputational, operational, and enterprise risk; and case studies of instances where risk management failed.","Regulatory Compliance, Regulatory Risk Assessment, Compliance with Legal Regulations, Legal Compliance Management","Multidisciplinary knowledge, Interdisciplinary knowledge, Communication, Resilience, Critical thinking & problem solving, Collaboration and leadership, Intercultural understanding and sensitivity, Self-directed learning","GRD - Graded","AREA - LLM CB Biz FinL Asia Track Core, AREA - LLM Commercial Law Track Core, AREA - Law Electives, AREA - Pre-approved Open Course, ENRL - SS Enrolment: 5 cross-enrolment, TRCK - Law: Corporate Transaction Track","No"
"Postgraduate","LAW","658","YPHSL LLM","Venture Capital Fund Strategy, Formation & Negotiations","Technology is eating the world. Venture capital has funded startups to overtake incumbents and grow to over ten trillion dollars of stock market capitalisation over the past twenty years. Trillions of dollars more of value will be disrupted and created in our coming future.

The course introduces you to venture capital from its early days in Silicon Valley to its worldwide spread. The course analyses fund objectives and dives into the economics between venture capital general partners, limited partners, and founders. Students will learn the strategies and competitive differentiation of venture capital funds, as well as the fundamental transactions that lie at the heart of venture capital. The corresponding formation, negotiations, and exit process for venture capital investments will be discussed. This course also speaks on the broader social and economic impact of venture capital and technology in society and its relationships with regulators over the long term.","Corporate Governance, Corporate and Business Law Application, Compliance with Legal Regulations","Multidisciplinary knowledge, Innovation and enterprising skills, Critical thinking & problem solving, Communication","GRD - Graded","AREA - LLM CB Biz FinL Asia Track Core, AREA - Pre-approved Open Course","No"
"Postgraduate","LAW","659","YPHSL LLM","Data Governance: Challenges and Opportunities in a Global Context","In a globalised world where data and information are becoming increasingly valuable and vulnerable, effective data governance is crucial for individuals, organisations, and societies. Data governance incorporates the collection of processes, policies, roles, metrics, and standards that guarantee the efficient and effective utilisation of data. This course will examine key issues and concepts in data governance from an international and comparative perspectives, employing regulatory and global governance theories to analyse how political, economic, and social forces influence data governance policies in various countries and regions. As data governance assumes a greater role in cross-border economic activities, it is essential to investigate its multifaceted effects and how it relates to various issues—notably, national security, human rights, social (in)justice, and geopolitical dynamics. Through interactive discussions, debates, and case studies, this seminar aims to help students gain an understanding of the unique challenges faced by policymakers, businesses, and individuals in the digital era.","Infocomm Security and Data Privacy, Governance, Regulatory Risk Assessment, Data Governance, Policy Implementation and Revision","Critical thinking & problem solving, Understanding of global and Asian perspectives, Multidisciplinary knowledge, Communication, Intercultural understanding and sensitivity","GRD - Graded","AREA - LLM Law & Technology Track Core, AREA - Law Electives, AREA - Pre-approved Open Course, ENRL - SS Enrolment: 10 cross-enrolment, TRCK - Law: Law and Technology Track","No"
"Postgraduate","LAW","660","YPHSL JD","International Commercialisation of Intellectual Property Rights","This course will examine different ways in which value may be extracted from the ownership of intellectual property rights (IPRs).  We will start with an overview of the various IPRs around the world and the more important differences between particular countries, which are important when considering an international IP strategy.  The course will then turn to look at different ways of dealing with IPRs: assignment or sale, licensing, and joint ventures; and the different challenges they present.  We will look in detail at the provisions to be included in assignments and licence agreements of the different IPRs.  After that, we will look at how to conduct IP due diligence in corporate transactions, what to look for and how to negotiate the documentation.  After that, IP issues in the IT industry will be discussed, as well as those you will come across in relation to using the Internet or setting up an Internet-based business.  Finally, we will consider how the enforcement of IPRs plays a critical role in extracting value.","-","-","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQSR - LAW101&102&105&202 or LGST101/201 with Grd A-, TRCK - Law: Law and Technology Track","Yes"
"Postgraduate","LAW","661","YPHSL LLM","Tax Issues in Private Wealth Practice","Singapore is one of the leading private wealth hubs in globally and in Asia. As such, there is a strong demand for private wealth professionals who have a good understanding of the legal and tax implications of common issues which arise in private wealth practice and the structures commonly used. This course is designed to provide an introduction to key concepts in private law practice such as trusts, family offices, charities, and philanthropy. Given that taxation is a key consideration of private wealth practice, this course will cover a number of common tax issues, ranging from the taxation of trusts, to stamp duties, cross border taxation and the various tax incentive schemes.","Corporate and Business Law, Legal Drafting and Writing, Corporate and Business Law Application, Tax Compliance","Disciplinary knowledge, Self-directed learning, Understanding of global and Asian perspectives, Multidisciplinary knowledge","GRD - Graded","AREA - LLM CB Biz FinL Asia Track Core, AREA - Pre-approved Open Course, ENRL - SS Enrolment: 5 cross-enrolment","No"
"Postgraduate","LAW","662","YPHSL LLM","Comparative Corporate Law and Governance in Asia","This course offers a critical examination of comparative corporate law through the lens of Asia – the engine of global economic growth over the past half-century. In an era where corporations profoundly shape global economies, societies, and sustainability, understanding diverse approaches to corporate governance is crucial. By exploring key issues from Asian viewpoints, students will gain insights into alternative models and innovative legal frameworks that respond to these far-reaching corporate impacts and explore the intricacies of corporate governance in one of the world’s most dynamic regions.

The course aims to broaden understanding of how legal, economic, political, and cultural contexts influence corporate structures and behaviours. Through engaging analysis, students will develop the critical thinking skills necessary to navigate the complexities of global corporate law in our rapidly changing world. This course is ideal for those seeking to challenge their preconceptions and gain nuanced, Asian and global perspectives on how corporate law can address the evolving role of corporations in what some see as the ‘Asian Century’.","Corporate and Business Law, Governance, Corporate Governance","Multidisciplinary knowledge, Interdisciplinary knowledge, Critical thinking & problem solving, Communication, Understanding of global and Asian perspectives, Disciplinary knowledge, Intercultural understanding and sensitivity, Understanding of sustainability issues, Self-directed learning, Collaboration and leadership, Ethics and social responsibility, Resilience","GRD - Graded","AREA - LLM CB Biz FinL Asia Track Core, AREA - Pre-approved Open Course, ENRL - SS Enrolment: 5 cross-enrolment","No"
"Postgraduate","LAW","663","YPHSL LLM","The Law of Venture Capital Transactions","This course offers a practical exploration of the legal aspects of venture capital investments and the lifecycle of startups. Students will gain a comprehensive understanding of the legal and commercial considerations involved in advising both venture capital funds and emerging growth companies.The curriculum is structured around the typical lifecycle of a venture capital transaction, from initial financing rounds through to exit strategies. We will explore the various types of investment instruments utilized in startup financing, including convertible notes, SAFEs, preference shares, and their associated legal implications. We will also explore the differing considerations of investors at different stages of the startup lifecycle. Through this course, students will develop the practical skills and strategic insight necessary to effectively advise clients in the dynamic world of startup finance and venture capital.","-","Multidisciplinary knowledge, Interdisciplinary knowledge, Disciplinary knowledge, Critical thinking & problem solving, Self-directed learning","GRD - Graded","AREA - LLM CB Biz FinL Asia Track Core, AREA - Pre-approved Open Course, ENRL - SS Enrolment: 5 cross-enrolment, AREA - LLM Commercial Law Track Core","No"
"Postgraduate","LAW","664","YPHSL LLM","Conducting and Managing Internal Corporate Investigations","This course examines the foundations of internal investigations within corporate organisations. It begins by defining the purpose and scope of internal investigations and the types of misconduct that commonly arise. The course then surveys the regulatory frameworks governing investigative work, including employment law considerations, confidentiality obligations, whistleblower protections, evidentiary rules, with attention to jurisdictional variances across Asia.We next consider how investigations are planned and executed, including triage, scoping, methodology, and the use of technology tools for evidence analysis. A two-part module on interviewing covers legal boundaries, witness sequencing, ethical risks, cognitive interviewing techniques, and strategies for dealing with difficult witnesses. The course then examines investigations into white collar crimes including fraud and corruption. The final modules address whistleblower-originated allegations, the preparation of defensible investigation reports, and the related mechanisms for escalation within the organisation or to external counsel.","-","Disciplinary knowledge, Multidisciplinary knowledge, Critical thinking & problem solving","GRD - Graded","AREA - LLM CB Biz FinL Asia Track Core, AREA - LLM Commercial Law Track Core, AREA - Pre-approved Open Course, ENRL - SS Enrolment: 5 cross-enrolment","No"
"Postgraduate","LAW","665","YPHSL LLM","Advanced Legal Analysis and Advocacy: Thinking Like a Common Lawyer","Common law jurisdictions share a historical heritage that has shaped professional, judicial, and cultural expectations (and thus, the development of the law itself) in distinctive ways. Understanding these shared patterns of thought confers a unique advantage on anyone engaging with or within a common law legal system. This includes lawyers advising clients or arguing before judges, commercial enterprises doing business against the backdrop of the law, lawmakers pursuing social objectives using law as a tool of policy, and countless others.This highly practical module immerses students within the common law paradigm, teaching them to see legal problems through a common law lens and use that perspective to craft powerful and persuasive arguments. Students will not only attain a sound conceptual understanding of common law methods, but also apply that understanding to practice-oriented written and oral exercises. The guided practice and individualised feedback they receive will make them better legal researchers, writers, and communicators, giving them knowledge and skills transferable to any legal or law-adjacent professional role.","-","Disciplinary knowledge, Critical thinking & problem solving, Communication, Self-directed learning, Understanding of global and Asian perspectives","GRD - Graded","AREA - LLM Programme Core, AREA - Pre-approved Open Course, ENRL - SS Enrolment: 5 cross-enrolment","No"
"Postgraduate","LAW","666","YPHSL LLM","The Practice of Law, Regulation and Compliance for Capital Markets","The course provides an overview of the regulatory landscape for capital markets, using Singapore as a baseline comparator against global standards. We will examine regulatory expectations for capital markets service providers, from broker-dealers to exchanges and clearing houses.The course focuses on the practice of law and regulatory compliance, and the intended audience is mature students who wish to deepen their practical understanding of capital markets regulation and how it is applied in real life.From an academic perspective, students can expect to learn about the relevant laws and regulations that apply to different classes of participants in capital markets, and the underlying principles and policy objectives. These will include aspects of data privacy, financial crime and operations and technology risk management.From a professional perspective, students can expect to learn how to apply their academic knowledge to address real-world challenges, the practical consequences of non-compliance and the key expectations of regulators.The course is complementary to subjects that cover other parts of the financial sector, such as banking, insurance and financial markets.","-","Multidisciplinary knowledge, Interdisciplinary knowledge, Critical thinking & problem solving","GRD - Graded","AREA - LLM CB Biz FinL Asia Track Core, AREA - Pre-approved Open Course, ENRL - SS Enrolment: 5 cross-enrolment","No"
"Postgraduate","LAW","700","YPHSL GPLC","Law in a Commercial Context","This is a course to provide law students with the essential knowledge of economics, business and finance. In this course, students will learn the basic economic theories of private and commercial law, basic theories of corporate governance, corporate finance, as well as the structure and functioning of the financial market. In short, this course introduces to students the economic substance underlying commercial and financial laws.","-","-","GRD - Graded","AREA - PhD Law Foundation","No"
"Postgraduate","LAW","701","YPHSL GPLC","Literature Review and Research Proposal Workshop","This seminar will provide students in the PhD in Law, Commerce and Technology programme with the skills required to transform their passion for an area of scholarship into publishable research that will make them competitive for the next stage of their careers. The seminar will be student-centred and bespoke for the areas of legal scholarship that each of the PhD’s in the seminar are pursuing. It will begin with an interactive session designed to illuminate the characteristics shared by high-quality impactful research in each PhD’s area of interest. Sessions will then focus on developing the skills necessary to produce a high-quality impactful piece of legal research; in the process the goal will be for each student to produce such a piece of research within the student-centre guided framework of the seminar. The seminar will end with  practical sessions on how to publish and present legal research to secure an academic position and how to have a positive impact on the development of knowledge in society.","-","-","GRD - Graded","AREA - PhD Law Foundation","No"
"Postgraduate","LAW","702","YPHSL GPLG","Legal Research Design and Methodology","This course will introduce based legal research methodology and design for DCLG students. It aims to prepare DCLG students with deep knowledge about how to conduct academic research in law. The course will be taught step by step to unpack different stages of writing an academic thesis. It starts with how to conduct literature review, develop research question, followed by research ethics and misconduct, referencing requirements as well as writing skills in English. The final part of the course then introduce three most common methodology for legal research: doctrinal, empirical and comparative research.","-","-","GRD - Graded","AREA - Doctor of Law & Commercial Governance Foundation","No"
"Postgraduate","LAW","703","YPHSL GPLG","International Economic Law","While the WTO is facing a protracted institutional crisis—particularly with the impasse of its Appellate Body—the rules-based multilateral trading system remains highly valued and actively supported by many countries, including major powers such as China, the European Union (EU), middle powers like Australia, and Canada. For smaller and open economies such as Singapore and New Zealand, in particular, adherence to predictable, rule-based global trade norms remains a matter of strategic necessity. Against this evolving backdrop, this subject offers students an integrated understanding of how the global economic order is and can be shaped.

Beyond traditional approaches to international economic law, the course explores broader contexts and deeper dynamics, including how economic governance is increasingly shaped through diverse mechanisms such as trans-governmental networks and global administrative law (GAL). These alternative perspectives, together with critiques (such as the Third World Approaches to International Law (TWAIL)), help students appreciate the complex, pluralistic nature of global rule-making and implementation. The course also draws on different narratives about global trade (e.g., trade peace narrative, comparative advantage theory, etc.) to provide a conceptual foundation for understanding how and why countries trade, with careful reflection on how shifting geopolitical landscapes—from rising geoeconomic rivalries to renewed industrial policies—are reshaping global trade relations.

While the subject covers core areas such as trade in goods and trade in services, it does so from a contemporary viewpoint. We examine topical issues such as national security-based trade restrictions, export controls on critical technologies (e.g., semiconductors), the governance of digital trade, tensions around cross-border data flows and data localization measures, and regulatory challenges linked to social media platforms. 

Finally, the course turns to selected issues in regionalism. With the WTO’s negotiating function largely stalled, countries are increasingly investing political capital and legal capacity in regional trade agreements. In this context, regionalism is emerging as a key driver of economic governance, especially within ASEAN, where Member States strive to deepen integration while managing complex external relationships. In doing so, the course aims to help students critically assess the evolving architecture of international economic law and its implications for future governance models.","-","-","GRD - Graded","AREA - Doctor of Law & Commercial Governance Elective","No"
"Postgraduate","LAW","704","YPHSL GPLG","Law of Capital Markets in the Globalised Context","Capital markets play a central role in modern economies by mobilising savings, allocating capital efficiently, and facilitating innovation and growth. As financial systems become increasingly interconnected, understanding how different jurisdictions regulate market access, investor protection, and financial stability has become essential for lawyers, regulators, and market participants operating in the global arena.

This course provides a comparative and transactional analysis of capital markets law, with a primary focus on four key jurisdictions: the United States, China, Singapore, and Hong Kong. It examines the legal and regulatory frameworks governing the issuance and trading of securities, the regulation of investment funds, and the oversight of capital market intermediaries such as underwriters, fund managers, and broker-dealers.

Through the lens of cross-border financial activity and global capital flows, students will explore core topics including disclosure and liability regimes, public and private securities offerings, market conduct rules, fund structuring and governance, regulation of intermediaries, and enforcement mechanisms. The course also considers emerging developments in sustainable finance and fintech regulatory standards.","-","-","GRD - Graded","AREA - Doctor of Law & Commercial Governance Core","No"
"Undergraduate","LAW","4001","YPHSL","Shareholder Deals and Litigation","This course is designed to introduce students to practical perspectives on advising corporate shareholders in respect of issues that arise from the management of a company, particularly in the context of joint ventures, and shareholder disputes that may arise therefrom. Students will be guided through the life cycle of a joint venture – from inception to termination, with an emphasis on practical demands of commercial clients and business strategies and inspired by real-life examples of actual cases. 

The course will be taught through a mixture of lectures and hands-on workshops, focused on the practical aspects of advice which arise in practice, with feedback by practitioners on the advice/solutions proposed by students. Guest speakers will also share their experiences in handling the practical challenges.

Students will learn to apply theoretical legal principles to real-life cases to meet client needs, ranging from drafting of initial agreements, managing fall-outs, and eventual exits.","-","-","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - LAW101, RQCP - LAW102, RQCP - LAW105_605","Yes"
"Undergraduate","LAW","4002","YPHSL","Legal Analytics and Artificial Intelligence in Law","Against the context of Industrial Revolution 4.0, the legal industry is being disrupted by big data analytics and artificial intelligence (“AI”). Legal analytics and AI-driven applications in the law are transforming the nature of legal service delivery across the US, Europe, Australia and now in Singapore. New forms of analytics and AI-driven legal services have emerged in emerging areas such as litigation analytics, automated legal due diligence and the rise of the so-called AI lawyers such as Ross. This course will provide the foundation in the area of big data analytics and AI and explain how the technology works in the legal industry. Students will learn the process of managing the design and development of analytics and AI-driven applications and services to deliver new forms of legal services as legal profession move up the value chain. The course is not designed to teach law students to become programmers or coders.","-","-","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - IS Related Courses, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP","No"
"Undergraduate","LAW","4003","YPHSL","International and Comparative Secured Transactions Law","It will provide a comparative analysis of the law of secured transactions in common and civil law jurisdictions with international instruments aiming to modernise secured transactions laws. The module will be divided into three parts. The first part will be introduction. The second part will focus on the principles of the law of secured credit and title financing under common law (English law, UCC Article 9 and PPSAs) and civil law. The third part will focus on the reform of secured transactions law around the world, particularly, in light of the principles of the UNCITRAL Legislative Guide on Secured Transactions Law and the UNCITRAL Model Law on Secured Transactions. Comparisons will also be made with the EBRD Model Law on Secured Transactions, OAS Inter-American Model Law on Secured Transactions and the World Bank Toolkit on Secured Transactions Systems and Collateral Registries.","-","-","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - LAW101, RQCP - LAW102, RQCP - LAW201_621/LAW205, RQCP - LAW202","Yes"
"Undergraduate","LAW","4005","YPHSL","Comparative Criminal Law","This course introduces students to the application of the theory and methodology of comparative law to substantive criminal law. It builds on a student’s prior knowledge of a basic course in criminal law by comparing selected principles of the law primarily with those found in Australia, Canada, England, India, New Zealand, Malaysia and Singapore. Topics covered include the fault elements of murder and negligent manslaughter; consent in rape; the fault element for joint criminal enterprise; principles of causation; the defences of private defence, mental impairment and provocation; criminalising euthanasia; and the German and Dutch laws of homicide and attendant defences. The insights gained by students from comparative analyses of these topics will sharpen their appreciation of the strengths and weaknesses of the criminal law of particular jurisdictions, and enhance their ability to view law from wider theoretical, sociological and reform perspectives.","-","-","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - LAW103","Yes"
"Undergraduate","LAW","4006","YPHSL","Legal Innovation and Technology","Innovation and Information technology is fundamentally transforming the nature and practice of law. Buyers of legal services are becoming savvier about the time and cost efficiencies that technology can deliver.  As a result, clients expect their legal services providers to engage technology in their practices and are auditing legal providers’ IT systems and capabilities.  This course will explore how technology is currently used in legal practice and how its evolution will continue to shape the legal profession. Students will be asked to grapple with the challenges and opportunities currently facing the legal system, the legal profession and society as a whole (and how technology might be able to help).","-","-","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - IS Related Courses, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, AREA - Technology Studies Cluster, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - LAW4074, TRCK - Law: Law and Technology Track","Yes"
"Undergraduate","LAW","4007","YPHSL","Advanced Law of Obligations","Many prominent jurists assert a very close connection between the law of contract and the law of torts.  Some – most prominently Peter Birks – have even suggested that breaches of contract and torts comprise a single, unified legal category (wrongs). Although good reasons for this view can be identified, it is observably true that many important disjunctions between these two branches of the law also exist. 

The goal of this course is to provide an appreciation of commonalities, connections and divergencies between contract and tort law. The course aims ultimately are threefold. To provide a suitably informed platform from which we may critique: 
(i) the common claim that tort and contract together comprise a single legal category: ‘civil wrongs’;
(ii) certain commonplace theoretical claims about private law (such as some jurists’ insistence that there be privity between the parties, and that remedies be underscored by a commitment to corrective justice);
(iii) the difference between the way in which contract and tort accommodate certain pervasive defences in the law (such as duress and limitations of actions).","-","-","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP","No"
"Undergraduate","LAW","4008","YPHSL","International Investment Law","At the end of this unit of study, students will be able to:
1.	understand the principles of international investment law; 
2.	recall and recount the origins and evolution of those principles;  
3.	analyse the emergence of the current international legal framework for foreign investment governed by bilateral and regional investment treaties; 
4.	critically analyse the legal concepts and principles studied in arbitral awards;  
5.	critically analyse the issues surrounding the structure and procedural aspects of international investment dispute resolution;  
6.	identify and apply legal principles in hypothetical fact situations;  
7.	demonstrate an ability to think critically, justify ideas in a reasoned manner, and evaluate legal theories relevant to international investment law.","-","-","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - LAW422, RQCX - LAW432, RQCX - LAW458","Yes"
"Undergraduate","LAW","4010","YPHSL","Legal Design","Legal Design refers to the human centric redesign of legal services, processes and operations that helps legal organisations change and innovate, especially in the context of increasing technology adoption. This course introduces Design Thinking as a specific methodology applied to the context and needs of participants in the legal system today. This course is divided into different sections:  (1) Technology adoption and innovation in the legal industry today; (2) Design Thinking as a model for consensus building and multi-disciplinary project management; (3) Design Methodology (e.g. ethonography studies, user testing frameworks etc.); and 
(4) Legal industry context from the perspective of the emerging intersection between business, technology and legal needs.  Learning will be experential in nature through class discussion, activities and a team project.","-","-","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, TRCK - Law: Law and Technology Track, ENRL - Open to Undergraduates & GJD","Yes"
"Undergraduate","LAW","4012","YPHSL","Entrepreneurship in Singapore - From Cradle To Grave","This course seeks to provide an overview of what an ambitious Singapore entrepreneur may face in his/her journey to grow a business in Singapore.  Partners@WongPartnership will guide the students through each stage of the entrepreneur’s journey and discuss the legal issues the entrepreneur will encounter at the different stages of building the business.   The journey begins when the entrepreneur first look at the options that are available to start a business in Singapore.  While most entrepreneurs will opt for a private limited company as the start-up vehicle, there may well be other options that better suit the business needs.  Most start-ups will then explore ways of raising funds to support the business growth, looking first to venture capital providers and then bank borrowings, before eventually raising monies on the capital markets through an IPO with a listing on the Singapore Exchange.  Life as a listed company on the SGX will be more exciting, as the entrepreneur learns to cope with stricter corporate governance standards.  Pursuing M&A opportunities as a listed company is no longer a decision that entrepreneur can make on his own accord.  A successful listed company will in turn become the target of interest by other companies or private equity buy-out funds, looking to acquire and/or take the listed company private.  Unfortunately, leveraged buy outs don’t always end on a happy note; we will explore at the end of the course the scenario where the company struggles with debt servicing and going through the ensuing debt restructuring to save the business.  Some companies emerge from a debt structuring in a good shape.  Some don’t.","Corporate and Business Law","Multidisciplinary knowledge, Critical thinking & problem solving","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - LGST101/LGST201/LAW201, TRCK - Law: Corporate Transaction Track","Yes"
"Undergraduate","LAW","4013","YPHSL","Commercial Remedies in Litigation","A good command of litigation remedies is essential for legal practice, whether as a litigator or transactional lawyer.  Knowledge of litigation remedies will inform a party as to what are the benefits and risks that the litigation process can present; and what are the objectives that can be secured in litigation (and what other objectives may need to be achieved via mediation or some other form of alternative despite resolution).This course is intended for students who intend to pursue a meaningful and rewarding career in legal practice.  Students who have taken this course have gone on to private practice in top law firms, in-house counsel positions in leading multi-national companies, as well as public service (Justices’ Law Clerks etc). This is therefore a practical, hands-on course to remedies.  Remedies are what a commercial client ultimately asks for. This course will guide students in practical aspects of remedies by reference to actual litigation cases which the course convenors themselves have argued succesfully.  Students will study and compare the different remedies used in different cases and learn to assess why they were selected.  When is a freezing Mareva Injunction available as a pre-emptive strike? When can you obtain an injunction for breach of restrictive covenants? Why would a Plaintiff claim Wrotham Park damages instead of normal damages?   What if a defendant is insolvent?  These are some of the questions which a litigant may ask counsel, and which students will explore. Students will also explore the rapidly developing and exciting new area of cryptocurrency.  We will explore remedies for cryptocurrency hacks and “persons unknown” cases, including pre-action discovery / interrogatories, ancillary disclosure orders, self-identification orders, and the use of Mareva and proprietary injunctions to these cases. Through case studies, students will assume the role of counsel to understand the tactical advantages and strategic considerations that counsel face – including evidential issues, assessment of damages, burden of proof, selection of defendants and impact of the defendants’ insolvency.  As noted above, knowledge of effective remedies are the bedrock of any legal practice career. Students will gain practical knowledge for a head start in legal practice, whether in private practice, as in-house counsel or in the public sector.","Restructuring Insolvency Advisory, Professional and Business Ethics","Disciplinary knowledge, Critical thinking & problem solving, Communication, Self-directed learning","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - LAW101, RQCP - LAW102, RQCP - LAW105_605, RQCP - LAW201_621/LAW205, RQCP - LAW202, TRCK - Law: Dispute Resolution Track","Yes"
"Undergraduate","LAW","4014","YPHSL","Dealmaking In Practice","This course intends to give you a glimpse of what happens in a corporate transaction. The course aims to teach you how to integrate the substantive law that you have learnt with the skills necessary so that you work and think like a Lawyer. This course will simulate a transaction that is about to happen and you will be the associate in a firm guiding your client towards the closing of the deal. 

You will learn how to handle clients, how dissect a transaction, how to draft a letter of advice, how to structure and draft agreements, how to negotiate on behalf of your clients and how to work in a team","-","-","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - LAW101, RQCP - LAW102, RQCP - LAW105_605, RQCP - LAW201_621/LAW205, RQCP - LAW202","Yes"
"Undergraduate","LAW","4015","YPHSL","FinTech Law","This course provides an overview of the foundations, evolution and regulatory challenges of financial technologies (“FinTech”) and how the rise of blockchain, Artificial Intelligence and other emerging technologies are reshaping the financial services industry. For that purpose, it starts by analysing different regulatory strategies to promote financial innovation and how countries are competing to become a FinTech Hub. The course will then examine the future of money and payment systems, with a particular emphasis on the role played by cryptocurrencies and the increasing participation of tech companies, including Facebook, Google and Apple, in the payment services industry. Additionally, the course will explain how Fintech is driving individuals’ and firms’ access to finance by providing new fundraising methods such as crowdfunding and Initial Coin Offerings. Likewise, it will also analyse the use and regulatory challenges of Artificial Intelligence in the financial sector. The course will conclude by analysing the financial services industry’s present and future in a data-driven world.","Corporate and Business Law, Financial Crime Laws and Regulations, Regulatory Risk Assessment, Corporate and Business Law Application, Regulatory and Legal Advisory","Interdisciplinary knowledge, Critical thinking & problem solving, Disciplinary knowledge, Multidisciplinary knowledge, Collaboration and leadership, Innovation and enterprising skills, Communication, Self-directed learning","GRD - Graded","AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - IS Related Courses, AREA - Law Electives, AREA - Legal Studies Electives, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - LAW4045","Yes"
